latency,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,,,,,,
4.6,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
3.9,,,,,,,,,,,,,,,,,,,,,,,,,
3.9,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,,,,,,,,,,,,,,,,,,,,,,,,,
3.9,,,,,,,,,,,,,,,,,,,,,,,,,
3.9,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
