latency
18
17
21
20
19
19
19
19
22
18
21
18
20
18
19
19
18
19
20
18
17
18
19
18
20
20
20
18
21
18
20
17
19
20
19
20
20
19
20
19
19
19
19
18
21
18
18
20
19
17
18
20
19
20
19
18
20
17
20
20
22
19
18
18
21
19
18
20
21
17
19
18
21
19
18
21
18
22
21
19
19
22
19
19
21
19
18
17
19
20
18
18
20
18
19
22
21
19
20
18
